case_id,activity,timestamp,marsruts,transporta_veids,gaidisanas_laiks_s,apstajas_pie_luksofora
10,Ierasanas krustojuma,2026-03-15 00:03:00.000,R7,Autobuss,1.32,Ja
10,Gaidisana pie luksofora,2026-03-15 00:03:01.154,R7,Autobuss,1.32,Ja
10,Krustojuma skersosana,2026-03-15 00:03:02.476,R7,Autobuss,1.32,Ja
10,Izbrauksana no krustojuma,2026-03-15 00:03:08.488,R7,Autobuss,1.32,Ja
11,Ierasanas krustojuma,2026-03-15 00:00:00.000,R2,Auto,0.0,Ne
11,Gaidisana pie luksofora,2026-03-15 00:00:01.970,R2,Auto,0.0,Ne
11,Krustojuma skersosana,2026-03-15 00:00:01.970,R2,Auto,0.0,Ne
11,Izbrauksana no krustojuma,2026-03-15 00:00:10.100,R2,Auto,0.0,Ne
12,Ierasanas krustojuma,2026-03-15 00:03:00.000,R4,Autobuss,0.0,Ne
12,Gaidisana pie luksofora,2026-03-15 00:03:01.013,R4,Autobuss,0.0,Ne
12,Krustojuma skersosana,2026-03-15 00:03:01.013,R4,Autobuss,0.0,Ne
12,Izbrauksana no krustojuma,2026-03-15 00:03:05.017,R4,Autobuss,0.0,Ne
13,Ierasanas krustojuma,2026-03-15 00:00:00.000,R3,Auto,23.83,Ja
13,Gaidisana pie luksofora,2026-03-15 00:00:01.165,R3,Auto,23.83,Ja
13,Krustojuma skersosana,2026-03-15 00:00:25.000,R3,Auto,23.83,Ja
13,Izbrauksana no krustojuma,2026-03-15 00:00:32.987,R3,Auto,23.83,Ja
14,Ierasanas krustojuma,2026-03-15 00:00:00.000,R1,Auto,0.0,Ne
14,Gaidisana pie luksofora,2026-03-15 00:00:01.686,R1,Auto,0.0,Ne
14,Krustojuma skersosana,2026-03-15 00:00:01.686,R1,Auto,0.0,Ne
14,Izbrauksana no krustojuma,2026-03-15 00:00:07.140,R1,Auto,0.0,Ne
15,Ierasanas krustojuma,2026-03-15 00:00:00.000,R4,Auto,24.02,Ja
15,Gaidisana pie luksofora,2026-03-15 00:00:00.981,R4,Auto,24.02,Ja
15,Krustojuma skersosana,2026-03-15 00:00:25.000,R4,Auto,24.02,Ja
15,Izbrauksana no krustojuma,2026-03-15 00:00:28.775,R4,Auto,24.02,Ja
16,Ierasanas krustojuma,2026-03-15 00:00:00.000,R5,Auto,23.78,Ja
16,Gaidisana pie luksofora,2026-03-15 00:00:01.217,R5,Auto,23.78,Ja
16,Krustojuma skersosana,2026-03-15 00:00:25.000,R5,Auto,23.78,Ja
16,Izbrauksana no krustojuma,2026-03-15 00:00:35.273,R5,Auto,23.78,Ja
17,Ierasanas krustojuma,2026-03-15 00:00:00.000,R7,Auto,23.78,Ja
17,Gaidisana pie luksofora,2026-03-15 00:00:01.218,R7,Auto,23.78,Ja
